"N° Dossier","Client","Chantier","N° Devis","Client - Chantier"
"102080","Aeroclim","Hippo Aéroville","32729","Aeroclim - Hippo Aéroville"
"102081","Rougnon","Retiro/Cartier Salle D212","32600","Rougnon - Retiro/Cartier Salle D212"
"102082","Muller","Maison des Aînés - Ermont","32740","Muller - Maison des Aînés - Ermont"
"102083","Faure Automatisme","Fourniture","32737","Faure Automatisme - Fourniture"
"102084","Derichebourg","Centre Ophtalmologique ","32560A","Derichebourg - Centre Ophtalmologique "
"102085","Rougnon","Le Retiro Cartier - Eclairage Club Affaire","32404A","Rougnon - Le Retiro Cartier - Eclairage Club Affaire"
"102086","Rougnon","Le Retiro Cartier - GPA GTB","32405","Rougnon - Le Retiro Cartier - GPA GTB"
"102087","Dalkia","Fournitures","32704","Dalkia - Fournitures"
"102088","Ambiance Climatisation","84 rue des Meuniers","32719","Ambiance Climatisation - 84 rue des Meuniers"
"102089","Bouygues","Opéra Victoire - Mainetance 2025","32575","Bouygues - Opéra Victoire - Mainetance 2025"
"102090","SCI Paramed 2 Cap Horn","5ème Treed It - Pôle Kiné 2","32583C","SCI Paramed 2 Cap Horn - 5ème Treed It - Pôle Kiné 2"
"102091","Rougnon","Maintenance Soparq 2025","30313-25","Rougnon - Maintenance Soparq 2025"
"102092","Agec","Carrefour Mondeville - R+5 phase 1","32730","Agec - Carrefour Mondeville - R+5 phase 1"
"102093","Rougnon","66CE - Fourniture de 5 sondes","32761","Rougnon - 66CE - Fourniture de 5 sondes"
"102094","Derichebourg","AG2R Brune","32772","Derichebourg - AG2R Brune"
"102095","VMA","Fournitures","32774","VMA - Fournitures"
"102096","Equans Services","Mise en service automates OPV","32698","Equans Services - Mise en service automates OPV"
"102097","Geteo","Richelieu ","32776","Geteo - Richelieu "
"102098","CA Paris - Vallée de la Marne","Sauvegarde GTB","32749","CA Paris - Vallée de la Marne - Sauvegarde GTB"
"102099","Geteo","Richelieu","32788","Geteo - Richelieu"
"102100","IDFC","Collège Bagneux","32633A","IDFC - Collège Bagneux"
"102101","Intuitech","GTB Joallerie Rebais","32266B","Intuitech - GTB Joallerie Rebais"
"102102","Emalec","Salesforce Paris Audit","32768","Emalec - Salesforce Paris Audit"
"102103","Emalec","Salesforce Paris Maintenance 2025","32769","Emalec - Salesforce Paris Maintenance 2025"
"102104","Eiffage Energie Thermique","RATP Le Blanc Mesnil","32747","Eiffage Energie Thermique - RATP Le Blanc Mesnil"
"102105","Bouygues","ADP GSI Nanterre - Reprise PAC","31737D","Bouygues - ADP GSI Nanterre - Reprise PAC"
"102106","E3 Génie Climatique","Joaillerie Louis Laurent","32723B","E3 Génie Climatique - Joaillerie Louis Laurent"
"102107","Axima","Agirc Arrco - Intégration 2VC GTB","32797","Axima - Agirc Arrco - Intégration 2VC GTB"
"102108","Axima","Agirc Arrco - Maintenance 2025","32787","Axima - Agirc Arrco - Maintenance 2025"
"102109","Eiffage","RATP Vitry Ardoines - Ajout automate","32647A","Eiffage - RATP Vitry Ardoines - Ajout automate"
"102110","Eiffage","RATP Vitry Ardoines - Ajout module CCF","32705A","Eiffage - RATP Vitry Ardoines - Ajout module CCF"
"102111","LTI","35/37 rue Chateaudun","32732A","LTI - 35/37 rue Chateaudun"
"102112","Imhoff","Luxeuil Centre Aquatique","32796A","Imhoff - Luxeuil Centre Aquatique"
"102113","Razel Bec","Métro PL14 Sud","32826","Razel Bec - Métro PL14 Sud"
"102114","Rougnon","Fournitures","32817","Rougnon - Fournitures"
"102115","Rougnon","Fournitures","32819","Rougnon - Fournitures"
"102116","ADF","GTB 11 St Dominique","32750A","ADF - GTB 11 St Dominique"
"102117","Fern Energies","GS Robespierre - CTA 06","32752B","Fern Energies - GS Robespierre - CTA 06"
"102118","St2l","Marengo R+1","32808","St2l - Marengo R+1"
"102119","Etec","Licences","32823","Etec - Licences"
"102120","IDFC","Commissariat Maisons Alfort","32738A","IDFC - Commissariat Maisons Alfort"
"102121","Geteo","VMP 2025","32834","Geteo - VMP 2025"
"102122","Energilec","Covea Boulogne - Audit","32827","Energilec - Covea Boulogne - Audit"
"102123","Etec","Ehpad Labastide d'Armagnac","32844","Etec - Ehpad Labastide d'Armagnac"
"102124","Sylvametal","Colombes : Piscine points GTB","32434C","Sylvametal - Colombes : Piscine points GTB"
"102125","Intuitech","JLL Rebais","32847","Intuitech - JLL Rebais"
"102126","Idex","Fournitures","32852","Idex - Fournitures"
"102127","Idex","Fournitures","32853","Idex - Fournitures"
"102128","MF Immocom","Treed-It","32849","MF Immocom - Treed-It"
"102129","Agec","Chantier","32786A","Agec - Chantier"
"102130","Covea","Fourniture","32857","Covea - Fourniture"
"102131","Covea","Fourniture","32858","Covea - Fourniture"
"102132","Cogeclim","PDT Relevage","32854A","Cogeclim - PDT Relevage"
"102133","CA Paris - Vallée de la Marne","Piscine Vaires sur Marne","32841","CA Paris - Vallée de la Marne - Piscine Vaires sur Marne"
"102134","CA Paris - Vallée de la Marne","Conservatoire Nina Simone","32842","CA Paris - Vallée de la Marne - Conservatoire Nina Simone"
"102135","UTB","Gestion ouvrant","32863","UTB - Gestion ouvrant"
"102136","Proclus","Malakoff","32846","Proclus - Malakoff"
"102137","C/o Esset","Vectorial Formation Cloisonnement ","32762","C/o Esset - Vectorial Formation Cloisonnement "
"102138","Rougnon","Retiro Cartier - R+1C","32609","Rougnon - Retiro Cartier - R+1C"
"102139","Ambiance Climatisation","Albingia","31994G","Ambiance Climatisation - Albingia"
"102140","Alfaklima","Porsche 95 - Saint Witz","32757B","Alfaklima - Porsche 95 - Saint Witz"
"102141","Bouygues","ADP GSI Nanterre - Maintenance 2025","32542","Bouygues - ADP GSI Nanterre - Maintenance 2025"
"102142","Engie","Orano - LT VDI","32666","Engie - Orano - LT VDI"
"102143","Engie","Orano - Fourniture","32668","Engie - Orano - Fourniture"
"102144","Centre Aquatique P. Loisel","Fourniture Distech","32878","Centre Aquatique P. Loisel - Fourniture Distech"
"102145","Foret Entreprise","Fournitures Distech","32885","Foret Entreprise - Fournitures Distech"
"102146","Siteme","GS Pont de Pierre Bobigny","32295A","Siteme - GS Pont de Pierre Bobigny"
"102147","Eiffage","RATP Pont de Sèvres","32806","Eiffage - RATP Pont de Sèvres"
"102148","Cegelec","Gare RATP ALN","32866","Cegelec - Gare RATP ALN"
"102149","Michon","CNRS 14ème","32822","Michon - CNRS 14ème"
"102150","Rougnon","Rue du Mail","31518A","Rougnon - Rue du Mail"
"102151","IDFC","Sous Station P13 - Logement familiaux","32270B","IDFC - Sous Station P13 - Logement familiaux"
"102152","Energilec","Bâtiment Canopy Dépannage 2 jours","32897","Energilec - Bâtiment Canopy Dépannage 2 jours"
"102153","Aston Climatisation","Grand hôtel Intercontinental","32869A","Aston Climatisation - Grand hôtel Intercontinental"
"102154","Mairie du Pré Saint Gervais","Maintenance","32870","Mairie du Pré Saint Gervais - Maintenance"
"102155","Covea","Fourniture","32901","Covea - Fourniture"
"102156","Rougnon","Retiro Cartier / Zoning B109","32875","Rougnon - Retiro Cartier / Zoning B109"
"102157","Bouygues E&S FM France","OPV - Zoning Opéra","32856","Bouygues E&S FM France - OPV - Zoning Opéra"
"102158","Euronat","Fournitures","32920","Euronat - Fournitures"
"102161","Cogeclim","RATP Bagneux - MAJ Architecture Régulation","32899","Cogeclim - RATP Bagneux - MAJ Architecture Régulation"
"102162","Derichebourg Energie","AG2R Brune","32921","Derichebourg Energie - AG2R Brune"
